epoch,recall,f1,precision,noise,accuracy,mIOU,loss
1,0.774044936165233,0.7839757461030253,0.7941646978615592,0.20583530213843768,0.9664694223648461,0.7919837941311701,0.26108288764953613
2,0.8146671722967767,0.8025548339836357,0.7907973974316133,0.20920260256838386,0.9684915542602537,0.8134149627826373,0.18431326746940613
3,0.7332593761150724,0.7940478725597439,0.8658264219032243,0.13417357809677202,0.9701013075999723,0.8078245966424757,0.17475345730781555
4,0.8867384400108109,0.8064499651498893,0.739493576766825,0.2605064232331724,0.9665430509127102,0.8073592287464938,0.16870787739753723
5,0.8263760973422973,0.822290821546712,0.8182457489208828,0.1817542510791142,0.9719238770313751,0.8222966094659652,0.15369082987308502
6,0.8402169439388291,0.8075152286802483,0.7772636986872975,0.2227363013126997,0.9685143935374723,0.8171679989840549,0.16204801201820374
7,0.8199582450736037,0.824373144976247,0.8288358546320603,0.17116414536793656,0.9725378965720151,0.8231109093636789,0.14606182277202606
8,0.8110466698875156,0.8294244723026306,0.8486544534334514,0.15134554656654542,0.9737783089662208,0.8321701783995039,0.14348039031028748
9,0.8541778725021913,0.8317143902420434,0.810402147747354,0.1895978522526431,0.9728295986468973,0.8311174476137223,0.14532043039798737
10,0.876583425390987,0.8180561828352547,0.7668552222456554,0.2331447777543419,0.9693505702874597,0.8212963286863524,0.13163968920707703
11,0.8158418601381042,0.8222373050725001,0.8287338211249519,0.17126617887504506,0.9722716258122369,0.8301097648906943,0.13017147779464722
12,0.7775123807307618,0.8227025594663513,0.8734699455079695,0.12653005449202706,0.9736584149874172,0.8312983767470468,0.12728412449359894
13,0.801112220331119,0.8352865129992139,0.872506388402683,0.1274936115973137,0.9751651225945887,0.8390340019801542,0.12279480695724487
14,0.8601097972263528,0.8333972820607778,0.8082940241804256,0.19170597581957155,0.9729692018949067,0.8341239780692444,0.12349098920822144
15,0.8664763191206241,0.8435759529056042,0.8218549092415547,0.1781450907584424,0.9747412999471027,0.8391481494973778,0.11849662661552429
16,0.8350391090789097,0.8438768545328805,0.8529036821344546,0.1470963178655423,0.9757132163414587,0.8409976538480973,0.11670809239149094
17,0.851053563712347,0.8539291035955254,0.8568241511740998,0.14317584882589715,0.9771137971144455,0.8444545845188969,0.11765935271978378
18,0.8271802732082485,0.8471873263845106,0.8681862023883895,0.13181379761160733,0.9765439400306113,0.8431045271207654,0.11534426361322403
19,0.8577504665619916,0.8591748149363058,0.8606039116515201,0.13939608834847683,0.9778978396684693,0.8454643166528567,0.11199872195720673
20,0.8836539511477911,0.8513678880353874,0.8213579436903888,0.17864205630960836,0.9757477197891625,0.8401754997576032,0.11795410513877869
21,0.8685892639877577,0.8580070761854484,0.8476796441272902,0.15232035587270681,0.9774022469153769,0.84460675167521,0.1090354397892952
22,0.8557672475502164,0.8538792346336362,0.8519995440869728,0.14800045591302424,0.9769778373913885,0.8445550472596116,0.10725435614585876
23,0.8436539013728828,0.8530793874424774,0.8627178704597072,0.13728212954028968,0.9771580818371893,0.8442897910520338,0.10464980453252792
24,0.8368030073999709,0.8532531929421029,0.8703631260060966,0.1296368739939003,0.9773749816112027,0.8454978832215488,0.10665993392467499
25,0.853992460967914,0.8555714646894074,0.8571563283151258,0.1428436716848712,0.9773365656534829,0.8459328874507046,0.1013004258275032
26,0.8519703553088491,0.8549696198542479,0.8579900862114853,0.1420099137885117,0.9772800298837513,0.8456573657201855,0.10359933972358704
27,0.8412311077001446,0.8543286681095106,0.8678405345468873,0.13215946545310958,0.977450370788574,0.8463413996435367,0.10192910581827164
28,0.8392208235818559,0.8535768116656381,0.8684325147399892,0.13156748526000772,0.9773682325314251,0.8461052840815307,0.1013275533914566
29,0.8501532600542956,0.8554851486415327,0.8608843492412087,0.13911565075878815,0.9774226897802106,0.8464096062560487,0.10554517805576324
30,0.8500188678012623,0.8554265004200289,0.8609033880201497,0.13909661197984727,0.9774155494494314,0.8464764995711033,0.10965242236852646
31,0.8498399892237297,0.8554068985682302,0.8610472314469474,0.13895276855304953,0.9774167232024362,0.8464975341806608,0.10134788602590561
32,0.8498160350489993,0.8553904211847116,0.8610384309275562,0.13896156907244073,0.977414351243239,0.8464699412891264,0.10481178015470505
33,0.8478804132935067,0.8550658727208036,0.8623741712403855,0.13762582875961135,0.9774066484891449,0.8464329350980113,0.10225656628608704
34,0.8483125217181899,0.8551567589174013,0.8621123440057361,0.13788765599426075,0.9774117102989782,0.8464384946920753,0.10392436385154724
35,0.8490087482512649,0.8553851388754418,0.8618580428460375,0.13814195715395938,0.9774348430144479,0.846532434904579,0.10292841494083405
36,0.8476318498440308,0.8550445589067459,0.8625880732039625,0.13741192679603445,0.9774093872461562,0.8464204958271816,0.10547450929880142
37,0.8478396600871471,0.8550777561250391,0.8624405112449108,0.1375594887550861,0.9774099007630958,0.8464226551893875,0.1031992956995964
38,0.8467971868466045,0.8548258897081988,0.863008304458115,0.13699169554188187,0.9773918054042716,0.8463444885821255,0.10105831921100616
39,0.8485337089679738,0.8552590353722676,0.8620918311068184,0.1379081688931785,0.9774244748629055,0.8464869956276494,0.10152933746576309
40,0.8468989143159145,0.8548295225245052,0.8629100739913762,0.13708992600862066,0.9773897513365133,0.8463375211436207,0.1045086607336998
41,0.8476595371369011,0.8550345208253164,0.8625389717504046,0.13746102824959225,0.9774068196614581,0.8464143896253864,0.10202508419752121
42,0.8492140697489545,0.8554232240453219,0.8617238555643848,0.13827614443561212,0.9774363346588916,0.8465452088290184,0.10633300244808197
43,0.8467147471543504,0.854776088693111,0.8629924155949545,0.13700758440504232,0.977384934058556,0.8463150881769582,0.10257790982723236
44,0.8459320367177031,0.8545633456436975,0.8633726163559887,0.1366273836440082,0.9773671076847955,0.8462518815525268,0.10327260196208954
45,0.8485483303473548,0.8552562072966126,0.8620709926018795,0.13792900739811742,0.9774235700949643,0.8464831325666727,0.0980866327881813
46,0.8461137151338406,0.8546073529665933,0.8632732554301155,0.1367267445698814,0.9773702621459959,0.8462615713572856,0.10259833186864853
47,0.8464652504253396,0.8547092961206972,0.8631155151483211,0.1368844848516758,0.9773794320913459,0.8462915708919772,0.10517479479312897
48,0.8483579413222243,0.8552142115753832,0.8621822171214638,0.13781778287853308,0.9774209780570786,0.8464742153944786,0.10306592285633087
49,0.8477192670271381,0.8550547913004685,0.862518386094207,0.13748161390578997,0.9774089226355918,0.8464223045531637,0.10523839294910431
50,0.8485697957766587,0.8552614840855226,0.8620595606430728,0.13794043935692413,0.9774239613459659,0.8464845317227437,0.1030297800898552
51,0.8492647779370204,0.8554418667753401,0.8617094816745174,0.13829051832547948,0.97743838872665,0.8465533641564744,0.10120667517185211
52,0.8463868549444035,0.8546818186012459,0.8631409902553084,0.13685900974468848,0.9773765221620215,0.846283357125466,0.10244226455688477
53,0.8469468226653754,0.8548459366828405,0.8628937914115847,0.1371062085884122,0.9773914630596453,0.846337839324277,0.1051580011844635
54,0.8475982517807725,0.8550142892773346,0.8625612552469986,0.13743874475299836,0.9774047655936997,0.8463995093338921,0.09895944595336914
55,0.8488653342960605,0.8553343442702851,0.8619027192714216,0.1380972807285753,0.9774293899536131,0.8465162013378151,0.10350403189659119
56,0.8479880515332046,0.8551147320144996,0.8623622263469356,0.13763777365306132,0.9774126884264822,0.846438844249728,0.10323424637317657
57,0.8486186374056546,0.8552747763147901,0.8620361656635369,0.13796383433645995,0.9774250861925955,0.8464881765351198,0.10256113111972809
58,0.8482307042122924,0.855174984967772,0.8622339170708573,0.13776608292913964,0.9774172122661883,0.846457042402769,0.10199738293886185
59,0.8480608473369309,0.8551285858012567,0.8623151295259729,0.137684870474024,0.9774132753029846,0.8464380563881614,0.09966207295656204
60,0.8474728812299105,0.8549799847783307,0.862621286362157,0.13737871363783996,0.9774018556643753,0.8463877929056235,0.10372664779424667
61,0.8483196768612913,0.8551974958619843,0.8621877615391812,0.1378122384608157,0.9774189484425079,0.8464678896221002,0.10449659079313278
62,0.8487371639065936,0.8553033241969986,0.8619718834949467,0.13802811650505026,0.9774271402603539,0.8465045694055896,0.10305701941251755
63,0.848901110011567,0.855345725579834,0.8618889512171676,0.13811104878282932,0.9774305148002427,0.8465165772748824,0.10818972438573837
64,0.8479861849741347,0.8551156664601206,0.8623660574462068,0.13763394255379013,0.9774129085051706,0.8464399290196689,0.1007080227136612
65,0.847801395626214,0.855064382903477,0.862452897483211,0.1375471025167859,0.977408482478215,0.8464197036957304,0.09969935566186905
66,0.8479889848127395,0.855111112803856,0.8623538995705344,0.13764610042946246,0.9774120037372294,0.8464355701215203,0.10266011953353882
67,0.84794636504731,0.8551064951234891,0.8623885866117553,0.13761141338824165,0.9774122971754806,0.8464357380647447,0.10048481076955795
68,0.8471704986605857,0.8549096970555752,0.8627916098485782,0.13720839015141872,0.9773971117459809,0.8463644072494098,0.10664067417383194
69,0.8492053591399616,0.8554235638617678,0.8617335145772761,0.13826648542272077,0.9774366280971427,0.8465454881645056,0.10042284429073334
70,0.846456850909525,0.8547059159722995,0.8631173544920817,0.13688264550791523,0.9773790408403443,0.8462902266764215,0.10108805447816849
71,0.8462677062571079,0.8546518464194763,0.8632037857424111,0.1367962142575858,0.9773742480155747,0.8462715897121291,0.10336285084486008
72,0.8478835242252899,0.8550845694051121,0.8624089889346972,0.13759101106529972,0.9774099741226586,0.8464273800907068,0.10375659912824631
73,0.8485259316385159,0.8552533417790822,0.862088289108917,0.13791171089107992,0.977423643454527,0.8464857439942529,0.10599660128355026
74,0.8476716697708555,0.8550337460105983,0.8625248328962886,0.13747516710370833,0.9774063550508938,0.8464110782993631,0.10141956061124802
75,0.8468749601411839,0.8548229255343679,0.8629214986166628,0.13707850138333413,0.9773891889131985,0.8463381430058231,0.10195911675691605
76,0.8471216570315898,0.8548907362071365,0.8628036473486101,0.13719635265138677,0.9773949598654721,0.8463557068398861,0.10297822952270508
77,0.8479280105497893,0.8551009963630192,0.8623963864425759,0.13760361355742107,0.977411783658541,0.8464332702199167,0.09931882470846176
78,0.84804809251662,0.8551264543243507,0.8623239820893891,0.13767601791060785,0.9774132263966094,0.8464401195609517,0.10731342434883118
79,0.8485673070312321,0.8552617914390367,0.862062753681951,0.1379372463180459,0.9774240836119039,0.846485914274964,0.10209044814109802
80,0.8481417315632935,0.8551531411143993,0.8622814508375055,0.13771854916249135,0.9774155983558066,0.8464505104518559,0.09868405759334564
81,0.8478713915913355,0.8550825279723697,0.8624173879694453,0.13758261203055155,0.9774099252162833,0.8464254432456022,0.1025259867310524
82,0.8479339213201773,0.8551002504801828,0.8623887550180446,0.13761124498195232,0.9774114902202898,0.8464297038768172,0.10248168557882309
83,0.8480418706530536,0.8551246065523768,0.8623266572230586,0.13767334277693838,0.9774130552242962,0.8464376215881896,0.10361891239881516
84,0.8487231647135692,0.8553028917074773,0.8619854446141444,0.13801455538585253,0.9774274336986051,0.8465062296194272,0.10338643193244934
85,0.8474700813913056,0.8549823926763876,0.8626290895169453,0.13737091048305158,0.977402369181315,0.846391735965807,0.10304257273674011
86,0.8482235490691911,0.85517595187818,0.862243276447919,0.13775672355207794,0.9774175790640022,0.8464615120553974,0.10101669281721115
87,0.8466397736983758,0.8547585189545908,0.8630344893634064,0.1369655106365904,0.9773837358523636,0.8463110851763241,0.10608767718076706
88,0.848488911550296,0.8552429792351365,0.8621054461548161,0.13789455384518085,0.9774227386865859,0.8464815195872691,0.10331866145133972
89,0.8466407069779107,0.8547587900348509,0.8630340723000964,0.1369659276999005,0.9773837603055512,0.8463128971316808,0.10149723291397095
90,0.8494806766027728,0.8554924599472604,0.8615899508186815,0.13841004918131541,0.9774418855324768,0.846563187021795,0.10530179738998413
91,0.8482982114319874,0.8551888641189498,0.86219238807716,0.13780761192283691,0.9774179458618162,0.8464588100330968,0.10561344772577286
