epoch,recall,f1,precision,noise,accuracy,mIOU,loss
1,0.8349507131496097,0.6615653087095565,0.5478078423275571,0.4521921576723871,0.9787135654025586,0.7237998030430316,0.37284401059150696
2,0.6813237282801329,0.7037913913339017,0.7277914054691808,0.27220859453072843,0.985709508260089,0.7582292426798084,0.2731393873691559
3,0.905091982275368,0.7079925040272623,0.581385692901051,0.4186143070988943,0.9813963572184223,0.7658723887147807,0.22024182975292206
4,0.7998588159248152,0.7330942772969301,0.676616808040644,0.323383191959284,0.9854871961805535,0.780114905934668,0.2180284857749939
5,0.8176599164801944,0.7680226191635686,0.724067030690964,0.27593296930896055,0.9876920912000846,0.805150836625797,0.20048755407333374
6,0.8699915799858077,0.765487896230897,0.6833979155531344,0.3166020844467987,0.9867174360487174,0.8035961260867238,0.19123904407024384
7,0.8116298255610527,0.7917743498075117,0.7728671623175104,0.2271328376824087,0.9893627166748026,0.8229030986562285,0.19015879929065704
8,0.8942565297633981,0.7036314493145033,0.5799960283312051,0.42000397166873965,0.9812289343939866,0.762717937969297,0.17871859669685364
9,0.8400962773330805,0.7654710329773897,0.7030220210387963,0.2969779789611324,0.987172656589082,0.8035098871135485,0.18073125183582306
10,0.7995186133341725,0.7946121350134768,0.7897655193271564,0.21023448067275957,0.9897011650933139,0.8257583626130753,0.17613869905471802
11,0.8625326381859665,0.7897917493148948,0.7283657126440386,0.27163428735588957,0.9885592990451367,0.8209662737652553,0.16821657121181488
12,0.8011771009635558,0.7833777502342768,0.7663520989260685,0.23364790107385017,0.9889592064751498,0.8170650782429498,0.16694124042987823
13,0.8410913699107103,0.7470134294147072,0.6718639599977803,0.3281360400021517,0.9858044518364779,0.7950398434821017,0.15534307062625885
14,0.8057528258077,0.7921866653472399,0.7790697674417965,0.22093023255812136,0.9894661373562261,0.8219942185493548,0.15206535160541534
15,0.8717861486514479,0.7942905137204094,0.7294477654425896,0.2705522345573391,0.9887481265597852,0.8241383071541621,0.15229161083698273
16,0.824276856868195,0.7919947322583082,0.7621459240967614,0.23785407590315993,0.9892114003499327,0.8216579925597949,0.1512129157781601
17,0.820381537205336,0.786930445752691,0.7561004287740544,0.24389957122586725,0.9889301723904058,0.8182926965709917,0.14819709956645966
18,0.8533641783681457,0.7783414735895111,0.7154439080737922,0.2845560919261364,0.9878887600368902,0.8133211955972309,0.14341317117214203
19,0.8875800539220351,0.7782235463327497,0.6928582335796009,0.30714176642033264,0.9873945448133659,0.8140614317130075,0.1405951827764511
20,0.8717096030685533,0.7742712804783012,0.696425902018027,0.303574097981905,0.987334993150497,0.8107598808215459,0.14159883558750153
21,0.8383697491855687,0.7816492032474555,0.7321172599727621,0.2678827400271635,0.9883287217881923,0.8152781076404584,0.13800571858882904
22,0.8476913001691787,0.7916741082814727,0.7426014782141664,0.25739852178575895,0.988883336385089,0.8214943397960043,0.13714714348316193
23,0.8468663088868702,0.787868472609927,0.7365555604869781,0.2634444395129478,0.9886366526285786,0.8188631518306267,0.13751231133937836
24,0.8425117157266436,0.7894485127118334,0.7426733541755138,0.25732664582441106,0.9888017442491298,0.8197195807663504,0.13741979002952576
25,0.836762291944782,0.7910875554717132,0.7501410555529567,0.2498589444469669,0.9889876047770161,0.8206142759295106,0.13655678927898407
26,0.841924866257785,0.791054670656286,0.7459815070195897,0.25401849298033485,0.9889174567328538,0.8207115673060179,0.13635535538196564
27,0.8456075593014922,0.7908179042340393,0.7426962179443528,0.2573037820555724,0.9888530307345899,0.8207717676191517,0.13453489542007446
28,0.8441616982912608,0.7917454341908866,0.7454579593675507,0.2545420406323741,0.9889344109429232,0.8212034960926347,0.1353050172328949
29,0.8454884883947672,0.7929740265355764,0.7466015771685507,0.2533984228313741,0.9889994727240647,0.8223151951657793,0.13600695133209229
30,0.842817898058222,0.7928726542085084,0.7485157489235781,0.25148425107634625,0.9890274471706793,0.822142757148198,0.13611602783203125
31,0.8439660818016411,0.7915619640526458,0.7452852153666494,0.25471478463327535,0.9889246622721333,0.8212496386743745,0.1347045749425888
